ts,Close,High,Low,Open,Volume,date,time
2026-03-27 09:00:00+01:00,323.0,345.0,323.0,340.0,810,2026-03-27,09:00:00
2026-03-27 09:15:00+01:00,326.0,332.0,324.0,332.0,315,2026-03-27,09:15:00
2026-03-27 09:30:00+01:00,328.0,328.0,324.0,326.0,229,2026-03-27,09:30:00
2026-03-27 09:45:00+01:00,328.0,328.0,325.0,328.0,75,2026-03-27,09:45:00
2026-03-27 10:00:00+01:00,325.0,328.0,325.0,328.0,59,2026-03-27,10:00:00
2026-03-27 10:15:00+01:00,328.0,328.0,325.0,325.0,54,2026-03-27,10:15:00
2026-03-27 10:30:00+01:00,327.0,328.0,325.0,325.0,46,2026-03-27,10:30:00
2026-03-27 10:45:00+01:00,327.0,327.0,325.0,326.0,153,2026-03-27,10:45:00
2026-03-27 11:00:00+01:00,328.0,328.0,326.0,327.0,34,2026-03-27,11:00:00
2026-03-27 11:15:00+01:00,325.0,326.0,323.0,326.0,166,2026-03-27,11:15:00
2026-03-27 11:30:00+01:00,325.0,325.0,323.0,325.0,42,2026-03-27,11:30:00
2026-03-27 11:45:00+01:00,323.0,325.0,322.0,323.0,86,2026-03-27,11:45:00
2026-03-27 12:00:00+01:00,322.0,324.0,320.0,323.0,366,2026-03-27,12:00:00
2026-03-27 12:15:00+01:00,321.0,323.0,320.0,323.0,197,2026-03-27,12:15:00
2026-03-27 12:30:00+01:00,321.0,322.0,320.0,322.0,102,2026-03-27,12:30:00
2026-03-27 12:45:00+01:00,321.0,321.0,321.0,321.0,133,2026-03-27,12:45:00
2026-03-27 13:00:00+01:00,321.0,321.0,320.0,320.0,83,2026-03-27,13:00:00
2026-03-27 13:15:00+01:00,322.0,323.0,321.0,321.0,252,2026-03-27,13:15:00
2026-03-27 13:30:00+01:00,321.0,323.0,321.0,322.0,131,2026-03-27,13:30:00
2026-03-27 13:45:00+01:00,324.0,324.0,322.0,322.0,34,2026-03-27,13:45:00
2026-03-27 14:00:00+01:00,323.0,324.0,323.0,324.0,60,2026-03-27,14:00:00
2026-03-27 14:15:00+01:00,323.0,323.0,323.0,323.0,61,2026-03-27,14:15:00
2026-03-27 14:30:00+01:00,323.0,323.0,321.0,322.0,41,2026-03-27,14:30:00
2026-03-27 14:45:00+01:00,321.0,323.0,321.0,322.0,54,2026-03-27,14:45:00
2026-03-27 15:00:00+01:00,321.0,323.0,321.0,323.0,113,2026-03-27,15:00:00
2026-03-27 15:15:00+01:00,323.0,323.0,323.0,323.0,91,2026-03-27,15:15:00
2026-03-27 15:30:00+01:00,324.0,324.0,323.0,323.0,21,2026-03-27,15:30:00
2026-03-27 15:45:00+01:00,322.0,322.0,322.0,322.0,19,2026-03-27,15:45:00
2026-03-27 16:00:00+01:00,322.0,326.0,322.0,324.0,137,2026-03-27,16:00:00
2026-03-27 16:15:00+01:00,326.0,326.0,322.0,326.0,135,2026-03-27,16:15:00
2026-03-27 16:30:00+01:00,321.0,324.0,321.0,323.0,301,2026-03-27,16:30:00
2026-03-27 16:45:00+01:00,322.0,322.0,320.0,321.0,362,2026-03-27,16:45:00
2026-03-27 17:00:00+01:00,320.0,320.0,320.0,320.0,31,2026-03-27,17:00:00
2026-03-30 09:00:00+02:00,313.0,323.0,305.0,321.0,909,2026-03-30,09:00:00
2026-03-30 09:15:00+02:00,315.0,317.0,312.0,313.0,439,2026-03-30,09:15:00
2026-03-30 09:30:00+02:00,320.0,320.0,315.0,317.0,557,2026-03-30,09:30:00
2026-03-30 09:45:00+02:00,324.0,324.0,319.0,321.0,275,2026-03-30,09:45:00
2026-03-30 10:00:00+02:00,325.0,328.0,322.0,324.0,379,2026-03-30,10:00:00
2026-03-30 10:15:00+02:00,326.0,327.0,325.0,326.0,114,2026-03-30,10:15:00
2026-03-30 10:30:00+02:00,325.0,327.0,325.0,327.0,137,2026-03-30,10:30:00
2026-03-30 10:45:00+02:00,326.0,327.0,324.0,326.0,164,2026-03-30,10:45:00
2026-03-30 11:00:00+02:00,326.0,326.0,324.0,324.0,44,2026-03-30,11:00:00
2026-03-30 11:15:00+02:00,318.0,326.0,318.0,326.0,938,2026-03-30,11:15:00
2026-03-30 11:30:00+02:00,317.0,320.0,317.0,320.0,136,2026-03-30,11:30:00
2026-03-30 11:45:00+02:00,315.0,317.0,315.0,317.0,74,2026-03-30,11:45:00
2026-03-30 12:00:00+02:00,317.0,317.0,316.0,316.0,5,2026-03-30,12:00:00
2026-03-30 12:15:00+02:00,317.0,317.0,315.0,317.0,34,2026-03-30,12:15:00
2026-03-30 12:30:00+02:00,317.0,317.0,317.0,317.0,9,2026-03-30,12:30:00
2026-03-30 12:45:00+02:00,317.0,317.0,317.0,317.0,2,2026-03-30,12:45:00
2026-03-30 13:00:00+02:00,320.0,320.0,316.0,316.0,886,2026-03-30,13:00:00
2026-03-30 13:15:00+02:00,321.0,321.0,318.0,320.0,173,2026-03-30,13:15:00
2026-03-30 13:30:00+02:00,323.0,323.0,321.0,321.0,40,2026-03-30,13:30:00
2026-03-30 13:45:00+02:00,319.0,322.0,316.0,321.0,244,2026-03-30,13:45:00
2026-03-30 14:00:00+02:00,319.0,319.0,316.0,316.0,39,2026-03-30,14:00:00
2026-03-30 14:15:00+02:00,319.0,319.0,316.0,316.0,195,2026-03-30,14:15:00
2026-03-30 14:30:00+02:00,320.0,320.0,319.0,319.0,34,2026-03-30,14:30:00
2026-03-30 14:45:00+02:00,319.0,319.0,317.0,319.0,19,2026-03-30,14:45:00
2026-03-30 15:00:00+02:00,319.0,319.0,318.0,319.0,7,2026-03-30,15:00:00
2026-03-30 15:15:00+02:00,319.0,319.0,318.0,318.0,6,2026-03-30,15:15:00
2026-03-30 15:30:00+02:00,319.0,320.0,319.0,319.0,14,2026-03-30,15:30:00
2026-03-30 15:45:00+02:00,319.0,319.0,318.0,319.0,103,2026-03-30,15:45:00
2026-03-30 16:00:00+02:00,316.0,318.0,314.0,317.0,311,2026-03-30,16:00:00
2026-03-30 16:15:00+02:00,313.0,317.0,313.0,316.0,262,2026-03-30,16:15:00
2026-03-30 16:30:00+02:00,312.0,314.0,312.0,314.0,313,2026-03-30,16:30:00
2026-03-30 16:45:00+02:00,313.0,313.0,311.0,312.0,268,2026-03-30,16:45:00
2026-03-30 17:00:00+02:00,313.0,313.0,313.0,313.0,67,2026-03-30,17:00:00
2026-03-31 09:00:00+02:00,312.0,315.0,308.0,314.0,689,2026-03-31,09:00:00
2026-03-31 09:15:00+02:00,312.0,313.0,310.0,312.0,56,2026-03-31,09:15:00
2026-03-31 09:30:00+02:00,313.0,313.0,310.0,313.0,137,2026-03-31,09:30:00
2026-03-31 09:45:00+02:00,315.0,315.0,313.0,313.0,151,2026-03-31,09:45:00
2026-03-31 10:00:00+02:00,315.0,315.0,314.0,315.0,72,2026-03-31,10:00:00
2026-03-31 10:15:00+02:00,317.0,317.0,315.0,315.0,44,2026-03-31,10:15:00
2026-03-31 10:30:00+02:00,317.0,317.0,316.0,317.0,75,2026-03-31,10:30:00
2026-03-31 10:45:00+02:00,317.0,317.0,317.0,317.0,122,2026-03-31,10:45:00
2026-03-31 11:00:00+02:00,318.0,318.0,317.0,317.0,59,2026-03-31,11:00:00
2026-03-31 11:15:00+02:00,319.0,319.0,318.0,318.0,107,2026-03-31,11:15:00
2026-03-31 11:30:00+02:00,322.0,323.0,317.0,319.0,570,2026-03-31,11:30:00
2026-03-31 11:45:00+02:00,322.0,322.0,322.0,322.0,39,2026-03-31,11:45:00
2026-03-31 12:00:00+02:00,317.0,322.0,313.0,322.0,507,2026-03-31,12:00:00
2026-03-31 12:15:00+02:00,316.0,316.0,314.0,314.0,157,2026-03-31,12:15:00
2026-03-31 12:30:00+02:00,316.0,316.0,315.0,316.0,24,2026-03-31,12:30:00
2026-03-31 12:45:00+02:00,317.0,317.0,314.0,315.0,156,2026-03-31,12:45:00
2026-03-31 13:00:00+02:00,316.0,316.0,315.0,315.0,110,2026-03-31,13:00:00
2026-03-31 13:15:00+02:00,317.0,317.0,314.0,315.0,177,2026-03-31,13:15:00
2026-03-31 13:30:00+02:00,317.0,317.0,317.0,317.0,34,2026-03-31,13:30:00
2026-03-31 13:45:00+02:00,318.0,318.0,317.0,318.0,163,2026-03-31,13:45:00
2026-03-31 14:00:00+02:00,317.0,318.0,317.0,318.0,132,2026-03-31,14:00:00
2026-03-31 14:15:00+02:00,318.0,318.0,316.0,317.0,229,2026-03-31,14:15:00
2026-03-31 14:30:00+02:00,316.0,316.0,316.0,316.0,301,2026-03-31,14:30:00
2026-03-31 14:45:00+02:00,314.0,316.0,313.0,316.0,428,2026-03-31,14:45:00
2026-03-31 15:00:00+02:00,315.0,315.0,313.0,314.0,52,2026-03-31,15:00:00
2026-03-31 15:15:00+02:00,316.0,316.0,315.0,315.0,140,2026-03-31,15:15:00
2026-03-31 15:30:00+02:00,315.0,315.0,313.0,314.0,259,2026-03-31,15:30:00
2026-03-31 15:45:00+02:00,317.0,317.0,313.0,315.0,590,2026-03-31,15:45:00
2026-03-31 16:00:00+02:00,320.0,320.0,317.0,319.0,400,2026-03-31,16:00:00
2026-03-31 16:15:00+02:00,320.0,320.0,320.0,320.0,16,2026-03-31,16:15:00
2026-03-31 16:30:00+02:00,317.0,319.0,317.0,319.0,117,2026-03-31,16:30:00
2026-03-31 16:45:00+02:00,317.0,317.0,317.0,317.0,15,2026-03-31,16:45:00
2026-03-31 17:00:00+02:00,319.0,319.0,319.0,319.0,105,2026-03-31,17:00:00
2026-04-01 09:00:00+02:00,331.0,340.0,325.0,327.0,551,2026-04-01,09:00:00
2026-04-01 09:15:00+02:00,338.0,338.0,333.0,334.0,860,2026-04-01,09:15:00
2026-04-01 09:30:00+02:00,333.0,337.0,329.0,337.0,1011,2026-04-01,09:30:00
2026-04-01 09:45:00+02:00,326.0,333.0,326.0,330.0,309,2026-04-01,09:45:00
2026-04-01 10:00:00+02:00,326.0,330.0,320.0,330.0,1019,2026-04-01,10:00:00
2026-04-01 10:15:00+02:00,323.0,328.0,323.0,326.0,360,2026-04-01,10:15:00
2026-04-01 10:30:00+02:00,323.0,325.0,320.0,322.0,359,2026-04-01,10:30:00
2026-04-01 10:45:00+02:00,325.0,325.0,322.0,323.0,222,2026-04-01,10:45:00
2026-04-01 11:00:00+02:00,325.0,325.0,325.0,325.0,52,2026-04-01,11:00:00
2026-04-01 11:15:00+02:00,324.0,325.0,321.0,325.0,256,2026-04-01,11:15:00
2026-04-01 11:30:00+02:00,325.0,325.0,321.0,324.0,44,2026-04-01,11:30:00
2026-04-01 11:45:00+02:00,325.0,325.0,325.0,325.0,14,2026-04-01,11:45:00
2026-04-01 12:00:00+02:00,325.0,325.0,324.0,324.0,31,2026-04-01,12:00:00
2026-04-01 12:15:00+02:00,324.0,325.0,324.0,325.0,90,2026-04-01,12:15:00
2026-04-01 12:30:00+02:00,320.0,325.0,320.0,325.0,910,2026-04-01,12:30:00
2026-04-01 12:45:00+02:00,324.0,324.0,323.0,323.0,79,2026-04-01,12:45:00
