Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-10-11,47.7,47.7,41,44.5,60670
2023-10-12,44.995,45.7,44.2,44.2,11565
2023-10-13,44.2,44.25,41.6,41.8,7940
2023-10-16,41.64,44.69,41.5,41.5,3790
2023-10-17,42,42.8,41.21,42,3216
2023-10-18,42.5,43.44,42.5,43.44,3837
2023-10-19,43.425,46.1,43.425,46.1,22270
2023-10-20,46,49.59,46,48,22018
2023-10-23,49.5,49.5,44.11,44.81,11061
2023-10-24,45.485,45.49,43.5,44.15,6480
2023-10-25,44.375,44.8,43.82,44,2928
2023-10-26,44,44.9,43.84,44.9,1033
2023-10-27,44.01,44.4,43.6,44,3149
2023-10-30,44,44.395,43.6,43.6,2757
2023-10-31,43.6,44.34,43.6,44,1686
2023-11-02,44,44.9,43.995,44,4275
2023-11-03,44.56,44.56,43.5,43.5,2083
2023-11-06,43.01,43.9,43,43.3,589
2023-11-07,43.3,43.3,40.52,41.2,7773
2023-11-08,42.3,42.3,40.54,40.9,1638
2023-11-09,40.9,40.9,37.1,38.58,8992
2023-11-10,38.58,38.58,34.995,36.895,5436
2023-11-13,35.11,36.68,29,31.685,32513
2023-11-14,31.1,33.4,30,33.395,4663
2023-11-15,33.4,34.35,31.22,33.5,4247
2023-11-16,33.45,34,32.61,34,1599
2023-11-17,33,34.28,31.9,34.25,7131
2023-11-20,32.705,33.915,32.705,33,1493
2023-11-21,33.87,35,33.71,34.92,1140
2023-11-22,34.94,39.88,34.94,39.88,3486
2023-11-23,39.5,42,37.2,42,9895
2023-11-24,43.9,43.9,39.2,41,3216
2023-11-27,41,41,37.5,39.385,2611
2023-11-28,39.75,39.75,37.8,39.38,164
2023-11-29,37.9,39.29,36.1,37.99,2350
2023-11-30,37.99,38.05,37.45,37.995,940
2023-12-01,38.45,39.39,37.995,38.99,861
2023-12-04,38.96,39.195,36,36.5,1362
2023-12-05,36.8,37.94,36.5,36.5,2636
2023-12-06,37.2,37.68,36.5,37.6,180
2023-12-07,36.505,37.38,36.5,37.38,621
2023-12-08,36.51,37.36,36,36.5,1036
2023-12-11,36.005,36.89,36,36.86,630
